LOJA;NOME;INAUGURACAO;AREA_LOJA;ENDERECO;CIDADE;UF;REGIAO;PAIS
BSIA-DF;Brasília SIA;29/11/2012;1.794;Sia Trecho 02, Lotes 65/95 , 65/95;Brasília;DF;Centro-Oeste;BRASIL
BAND-SP;Bandeirantes;13/12/2012;1.990;Av. Dos Bandeirantes, 2040;São Paulo;SP;Sudeste;BRASIL
JUND-SP;Jundiaí;20/12/2012;1.487;Av. Antonio Frederico Ozanan, 3003 - Junto Ao Atacadista Roldão;Jundiaí;SP;Sudeste;BRASIL
BTTA-SP;Butantã;26/02/2013;662;Av. Professor Francisco Morato, 1796 - 1798;São Paulo;SP;Sudeste;BRASIL
GUJA-SP;Guarujá;01/08/2013;972;Av. Adhemar De Barros, 1935;Guarujá;SP;Sudeste;BRASIL
IGES-SP;Iguatemi Esplanada;14/11/2013;977;Av. Gisele Constantino, 1850 - Shopping Iguatemi Esplanada;Votorantim;SP;Sudeste;BRASIL
MNLH-RJ;Carrefour Manilha;26/11/2013;1.987;Travessa Oliveira Botelho, 349 - Dentro Do Carrefour Manilha;São Gonçalo;RJ;Sudeste;BRASIL
PSAG-GO;Passeio das Águas;01/12/2013;906;Av. Perimetral Norte, 8303 - Fazenda Das Caveiras;Goiânia;GO;Centro-Oeste;BRASIL
AFCO-SP;Anália Franco;10/12/2013;1.048;Av. Regente Feijó, 677;São Paulo;SP;Sudeste;BRASIL
AYSE-RJ;Ayrton Senna;10/12/2013;2.946;Av. Ayrton Senna, 3437 - Junto A Etna;Rio de Janeiro;RJ;Sudeste;BRASIL
SCSU-SP;Carrefour São Caetano;17/12/2013;1.830;Av. Do Estado, 1750 - Junto Ao Carrefour;São Caetano do Sul;SP;Sudeste;BRASIL
MRBI-SP;Morumbi;30/04/2015;1.280;Rua Aureliano Guimarães, 201;São Paulo;SP;Sudeste;BRASIL
MOOC-SP;Mooca;17/07/2015;765;Av. Paes De Barros, 1654;São Paulo;SP;Sudeste;BRASIL
FBYT-GO;Parque Flamboyant;01/08/2015;929;Av. Deputado Jamel Cecílio, S/N - Quadra B16, Lotes 17/19;Goiânia;GO;Centro-Oeste;BRASIL
MGYA-SP;Manuel Gaya;06/08/2015;1.111;Rua Manuel Gaya, 2000;São Paulo;SP;Sudeste;BRASIL
CBUI-SP;Cambuí;13/08/2015;659;Av. Doutor Moraes Sales, 2326;Campinas;SP;Sudeste;BRASIL
CTMN-MG;Center Minas;26/11/2015;1.181;Av. Pastor Anselmo Silvestre, 1395 , 1495 - Shopping Center Minas;Belo Horizonte;MG;Sudeste;BRASIL
NSCA-MG;Nossa Senhora do Carmo;17/12/2015;1.450;Av. Nossa Senhora Do Carmo, 1448;Belo Horizonte;MG;Sudeste;BRASIL
IMIG-SP;Carrefour Imigrantes;01/04/2016;1.060;Rua Ribeiro Lacerda, 940 - Estacionamento G3 Carrefour;São Paulo;SP;Sudeste;BRASIL
ABVT-SP;Alto da Boa Vista;10/05/2016;951;Av. Adolfo Pinheiro, 1600;São Paulo;SP;Sudeste;BRASIL
PIRA-SP;Piracicaba;09/06/2016;1.151;Av. Centenário, 780;Piracicaba;SP;Sudeste;BRASIL
JGRE-SP;Jaguaré;07/09/2016;1.009;Av. Corifeu De Azevedo Marques, 4529 - Lado Ímpar Da Corifeu;São Paulo;SP;Sudeste;BRASIL
CDJD-SP;Cidade Jardim;20/09/2016;514;Av Dos Tajuras, 147 - 161;São Paulo;SP;Sudeste;BRASIL
STAD-SP;Santo André;06/10/2016;1.223;Av. Ramiro Colleoni , 355;Santo André;SP;Sudeste;BRASIL
AUGT-SP;Augusta;28/10/2016;1.003;Rua Augusta , 215;São Paulo;SP;Sudeste;BRASIL
